SampleID,percent_assigned,I,II,IV,V,VI,bMBI
P1-1,0.008771929824561403,50,50,0,0,0,2.3786356499999997
P1-10,0.0064516129032258064,0,0,100,0,0,3.8874496
P1-11,0.01282051282051282,25,0,25,50,0,4.7161934
P1-12,0.006711409395973154,0,0,50,50,0,5.26646185
P1-13,0.011049723756906077,0,0,50,50,0,5.26646185
P1-14,0.01607717041800643,0,0,60,40,0,4.9906594
P1-15,0.01090909090909091,0,0,66.66666666666666,33.33333333333333,0,4.806791099999999
P1-16,0.022284122562674095,0,12.5,37.5,37.5,12.5,5.396208325
P1-17,0.01098901098901099,0,0,100,0,0,3.8874496
P1-18,0.00816326530612245,0,0,50,50,0,5.26646185
P1-19,0.012605042016806723,66.66666666666666,33.33333333333333,0,0,0,2.1478823666666664
P1-2,0.019672131147540985,33.33333333333333,33.33333333333333,16.666666666666664,16.666666666666664,0,3.3412443833333327
P1-20,0.008583690987124463,0,0,100,0,0,3.8874496
P1-22,0.026415094339622643,0,14.285714285714285,42.857142857142854,28.57142857142857,14.285714285714285,5.217741785714286
P1-23,0.019801980198019802,0,16.666666666666664,50,33.33333333333333,0,4.67069875
P1-24,0.01593625498007968,0,0,25,50,25,6.41959945
P1-25,0.011940298507462687,0,25,50,25,0,4.3728172
P1-26,0.014134275618374558,75,0,25,0,0,2.23664425
P1-27,0.007017543859649123,50,50,0,0,0,2.3786356499999997
P1-28,0.0034482758620689655,100,0,0,0,0,1.6863758
P1-29,0.017482517482517484,0,0,60,40,0,4.9906594
P1-3,0.00823045267489712,100,0,0,0,0,1.6863758
P1-30,0.020833333333333332,0,0,33.33333333333333,50,16.666666666666664,6.03522025
P1-31,0.015209125475285171,0,0,50,50,0,5.26646185
P1-32,0.007518796992481203,0,0,100,0,0,3.8874496
P1-33,0.02066115702479339,0,0,40,40,20,5.91316948
P1-34,0.012121212121212121,0,0,100,0,0,3.8874496
P1-35,0.016,0,0,50,50,0,5.26646185
P1-36,0.02262443438914027,0,0,40,60,0,5.542264299999999
P1-37,0.017857142857142856,0,0,33.33333333333333,66.66666666666666,0,5.726132599999999
P1-38,0.025477707006369428,0,0,50,50,0,5.26646185
P1-39,0.02531645569620253,0,0,50,50,0,5.26646185
P1-4,0.010714285714285714,33.33333333333333,33.33333333333333,0,33.33333333333333,0,3.8009151333333326
P1-40,0.027210884353741496,0,0,50,50,0,5.26646185
P1-41,0.018518518518518517,0,14.285714285714285,42.857142857142854,42.857142857142854,0,4.952809514285714
P1-42,0.027210884353741496,25,0,37.5,37.5,0,4.3714403375
P1-43,0.019762845849802372,0,0,60,40,0,4.9906594
P1-44,0.015873015873015872,0,0,40,40,20,5.91316948
P1-46,0.003968253968253968,0,100,0,0,0,3.0708954999999998
P1-47,0.020833333333333332,0,14.285714285714285,28.57142857142857,42.857142857142854,14.285714285714285,5.611745285714285
P1-48,0.027491408934707903,12.5,25,37.5,25,0,4.097682975
P1-49,0.021505376344086023,25,0,50,25,0,4.0266872750000005
P1-5,0.0036101083032490976,0,0,100,0,0,3.8874496
P1-50,0.020100502512562814,12.5,0,37.5,50,0,4.991327625
P1-51,0.014705882352941176,0,0,100,0,0,3.8874496
P1-52,0.02247191011235955,0,0,100,0,0,3.8874496
P1-53,0.018018018018018018,0,0,50,50,0,5.26646185
P1-54,0.02072538860103627,0,0,50,50,0,5.26646185
P1-55,0.011538461538461539,0,0,66.66666666666666,33.33333333333333,0,4.806791099999999
P1-56,0.01107011070110701,0,0,66.66666666666666,33.33333333333333,0,4.806791099999999
P1-57,0.021834061135371178,0,0,40,60,0,5.542264299999999
P1-58,0.018867924528301886,50,0,50,0,0,2.7869127000000002
P1-6,0,NA,NA,NA,NA,NA,NA
P1-60,0,NA,NA,NA,NA,NA,NA
P1-61,0.01744186046511628,33.33333333333333,33.33333333333333,0,0,33.33333333333333,4.4190904333333325
P1-62,0.004975124378109453,100,0,0,0,0,1.6863758
P1-63,0.004524886877828055,100,0,0,0,0,1.6863758
P1-64,0.012552301255230125,66.66666666666666,33.33333333333333,0,0,0,2.1478823666666664
P1-65,0.022026431718061675,80,20,0,0,0,1.96327974
P1-66,0,NA,NA,NA,NA,NA,NA
P1-67,0.0035087719298245615,100,0,0,0,0,1.6863758
P1-68,0.018808777429467086,83.33333333333334,16.666666666666664,0,0,0,1.9171290833333332
P1-69,0.017482517482517484,80,20,0,0,0,1.96327974
P1-7,0.007352941176470588,0,50,50,0,0,3.47917255
P1-70,0.006329113924050633,0,100,0,0,0,3.0708954999999998
P1-71,0.007936507936507936,100,0,0,0,0,1.6863758
P1-72,0.015384615384615385,50,50,0,0,0,2.3786356499999997
P1-73,0.02356902356902357,42.857142857142854,42.857142857142854,0,14.285714285714285,0,2.988184
P1-74,0.02849740932642487,72.72727272727273,18.181818181818183,0,9.090909090909092,0,2.388933772727273
P1-75,0.02577319587628866,60,10,0,30,0,3.3125572599999997
P1-76,0.01680672268907563,75,25,0,0,0,2.032505725
P1-77,0.0056179775280898875,100,0,0,0,0,1.6863758
P1-78,0.0196078431372549,40,60,0,0,0,2.51708762
P1-79,0.024390243902439025,66.66666666666666,33.33333333333333,0,0,0,2.1478823666666664
P1-8,0.0072992700729927005,0,0,0,100,0,6.6454740999999995
P1-80,0.01694915254237288,0,25,50,25,0,4.3728172
P1-81,0.016129032258064516,0,0,33.33333333333333,66.66666666666666,0,5.726132599999999
P1-82,0.025089605734767026,42.857142857142854,14.285714285714285,42.857142857142854,0,0,2.827481671428571
P1-83,0.020833333333333332,25,25,25,25,0,3.8225487499999997
P1-84,0.06267806267806268,68.18181818181817,27.27272727272727,0,0,4.545454545454546,2.3736822727272724
P1-85,0.059375,52.63157894736842,47.368421052631575,0,0,0,2.342200921052631
P1-86,0.08846153846153847,65.21739130434783,30.434782608695656,4.3478260869565215,0,0,2.2034502217391303
P1-87,0.0759493670886076,58.333333333333336,41.66666666666667,0,0,0,2.2632590083333337
P1-88,0.0648854961832061,58.82352941176471,41.17647058823529,0,0,0,2.2564721470588234
P1-89,0.07581227436823104,57.14285714285714,42.857142857142854,0,0,0,2.2797413857142854
P1-9,0.011560693641618497,25,0,25,50,0,4.7161934
P1-90,0.06515580736543909,47.82608695652174,52.17391304347826,0,0,0,2.4087339043478257
P1-91,0.06699751861042183,55.55555555555556,44.44444444444444,0,0,0,2.3017178888888887
P1-92,0.08441558441558442,53.84615384615385,42.30769230769231,3.8461538461538463,0,0,2.356790819230769
P1-93,0.06569343065693431,77.77777777777779,22.22222222222222,0,0,0,1.9940468444444446
P1-94,0.07232704402515723,73.91304347826086,21.73913043478261,0,0,4.3478260869565215,2.2836028739130434
P2-1,0.08135593220338982,62.5,37.5,0,0,0,2.2055706875
P2-10,0.051440329218107,68,32,0,0,0,2.129422104
P2-11,0.10989010989010989,10,0,60,30,0,4.49474957
P2-12,0.12280701754385964,0,21.428571428571427,50,28.57142857142857,0,4.500480721428572
P2-14,0.11940298507462686,6.25,6.25,50,37.5,0,4.73310704375
P2-15,0.07553956834532374,61.904761904761905,38.095238095238095,0,0,0,2.2138118761904764
P2-16,0.08835341365461848,68.18181818181817,31.818181818181817,0,0,0,2.126904795454545
P2-17,0.08267716535433071,61.904761904761905,38.095238095238095,0,0,0,2.2138118761904764
P2-18,0.06086956521739131,0,0,57.14285714285714,35.714285714285715,7.142857142857142,5.201926235714285
P2-19,0.07239819004524888,0,0,43.75,43.75,12.5,5.67065411875
P2-2,0.064,43.75,18.75,12.5,18.75,6.25,3.5767899125
P2-20,0.06315789473684211,0,0,58.333333333333336,33.33333333333333,8.333333333333332,5.191170299999999
P2-21,0.045871559633027525,60,40,0,0,0,2.24018368
P2-22,0.05466237942122187,67.64705882352942,26.47058823529412,2.941176470588235,0,2.941176470588235,2.3180044852941175
P2-23,0.05128205128205128,60,30,0,0,10,2.7830941300000003
P2-24,0.0842911877394636,54.54545454545454,40.909090909090914,0,0,4.545454545454546,2.5624804136363637
P2-25,0.06451612903225806,61.111111111111114,33.33333333333333,0,0,5.555555555555555,2.5264170444444445
P2-26,0.06666666666666667,59.09090909090909,31.818181818181817,4.545454545454546,0,4.545454545454546,2.5366637954545452
P2-27,0.08040201005025126,18.75,6.25,43.75,31.25,0,4.285596287500001
P2-28,0.07784431137724551,7.6923076923076925,15.384615384615385,46.15384615384615,30.76923076923077,0,4.4411354461538455
P2-29,0.08333333333333333,30.76923076923077,7.6923076923076925,46.15384615384615,15.384615384615385,0,3.571695730769231
P2-3,0.057750759878419454,42.10526315789473,21.052631578947366,10.526315789473683,21.052631578947366,5.263157894736842,3.6121781052631574
P2-30,0.07100591715976332,58.333333333333336,33.33333333333333,0,4.166666666666666,4.166666666666666,2.638412470833333
P2-31,0.06510416666666667,56.00000000000001,32,4,4,4,2.6883739560000004
P2-32,0.058577405857740586,50,50,0,0,0,2.3786356499999997
P2-33,0.061068702290076333,0,0,50,50,0,5.26646185
P2-34,0.05982905982905983,0,0,42.857142857142854,57.14285714285714,0,5.463463599999999
P2-35,0.05150214592274678,25,8.333333333333332,33.33333333333333,33.33333333333333,0,4.188476474999999
P2-36,0.07665505226480836,50,50,0,0,0,2.3786356499999997
P2-38,0.06363636363636363,71.42857142857143,28.57142857142857,0,0,0,2.0819528571428574
P2-39,0.060240963855421686,55.00000000000001,45,0,0,0,2.309409665
P2-4,0.054313099041533544,52.94117647058824,17.647058823529413,5.88235294117647,17.647058823529413,5.88235294117647,3.3361141529411764
P2-40,0.056074766355140186,66.66666666666666,33.33333333333333,0,0,0,2.1478823666666664
P2-41,0.05405405405405406,58.333333333333336,33.33333333333333,0,8.333333333333332,0,2.5611405583333333
P2-42,0.08627450980392157,59.09090909090909,40.909090909090914,0,0,0,2.252770222727273
P2-43,0.0392156862745098,100,0,0,0,0,1.6863758
P2-44,0.05244755244755245,73.33333333333333,13.333333333333334,6.666666666666667,0,6.666666666666667,2.4719582933333335
P2-45,0.09243697478991597,72.72727272727273,18.181818181818183,9.090909090909092,0,0,2.1382042727272728
P2-46,0.0625,8.333333333333332,8.333333333333332,50,33.33333333333333,0,4.555322108333333
P2-47,0.061855670103092786,0,0,58.333333333333336,41.66666666666667,0,5.036626475
P2-48,0.07079646017699115,0,0,62.5,37.5,0,4.9217087875
P2-49,0.031413612565445025,33.33333333333333,0,33.33333333333333,16.666666666666664,16.666666666666664,4.3821874833333325
P2-5,0.07602339181286549,84.61538461538461,15.384615384615385,0,0,0,1.8993788307692308
P2-50,0.05630026809651475,42.857142857142854,14.285714285714285,19.047619047619047,14.285714285714285,9.523809523809524,3.6607756857142855
P2-51,0.037333333333333336,28.57142857142857,7.142857142857142,28.57142857142857,21.428571428571427,14.285714285714285,4.4501871
P2-52,0.07621951219512195,68,32,0,0,0,2.129422104
P2-53,0.1111111111111111,60,40,0,0,0,2.24018368
P2-54,0.07903780068728522,60.86956521739131,39.130434782608695,0,0,0,2.2281443782608696
P2-55,0.05473684210526316,69.23076923076923,23.076923076923077,7.6923076923076925,0,0,2.1751937153846153
P2-56,0.061855670103092786,75,25,0,0,0,2.032505725
P2-57,0.0625,60,30,10,0,0,2.32183909
P2-58,0.06217616580310881,58.333333333333336,25,8.333333333333332,8.333333333333332,0,2.6291867333333334
P2-59,0.05704697986577181,41.17647058823529,23.52941176470588,17.647058823529413,11.76470588235294,5.88235294117647,3.3847946823529416
P2-6,0.078125,45,50,0,5,0,2.626590565
P2-60,0.07720588235294118,66.66666666666666,23.809523809523807,9.523809523809524,0,0,2.2256494238095237
P2-62,0.06325301204819277,57.14285714285714,42.857142857142854,0,0,0,2.2797413857142854
P2-63,0.04975124378109453,60,30,10,0,0,2.32183909
P2-64,0.06280193236714976,69.23076923076923,30.76923076923077,0,0,0,2.1123818615384615
P2-65,0.11864406779661017,57.14285714285714,42.857142857142854,0,0,0,2.2797413857142854
P2-66,0.07730263157894737,63.829787234042556,34.04255319148936,2.127659574468085,0,0,2.2045330127659577
P2-67,0.0783132530120482,69.23076923076923,30.76923076923077,0,0,0,2.1123818615384615
P2-68,0.09375,60,40,0,0,0,2.24018368
P2-69,0.08260869565217391,78.94736842105263,21.052631578947366,0,0,0,1.9778536315789472
P2-7,0.07857142857142857,54.54545454545454,45.45454545454545,0,0,0,2.3157029363636363
P2-70,0.06486486486486487,68.75,25,4.166666666666666,0,2.083333333333333,2.2661676375
P2-71,0.0625,60,40,0,0,0,2.24018368
P2-72,0.06191950464396285,65,25,0,5,5,2.62114185
P2-73,0.05585106382978723,57.14285714285714,23.809523809523807,4.761904761904762,9.523809523809524,4.761904761904762,2.917589757142857
P2-74,0.06896551724137931,50,31.25,12.5,6.25,0,2.704116075
P2-75,0.06779661016949153,54.166666666666664,25,12.5,8.333333333333332,0,2.7208981416666664
P2-76,0.05357142857142857,22.22222222222222,11.11111111111111,33.33333333333333,33.33333333333333,0,4.226935355555554
P2-77,0.06,66.66666666666666,25,0,0,8.333333333333332,2.6003077416666667
P2-78,0.0804953560371517,67.3076923076923,30.76923076923077,0,0,1.9230769230769231,2.243413096153846
P2-79,0.05102040816326531,72,20,0,8,0,2.3600076039999998
P2-8,0.0749063670411985,65,35,0,0,0,2.170957695
P2-80,0.05860805860805861,50,50,0,0,0,2.3786356499999997
P2-81,0.08152173913043478,53.333333333333336,46.666666666666664,0,0,0,2.332484993333333
P2-82,0.0979020979020979,42.857142857142854,57.14285714285714,0,0,0,2.4775299142857143
P2-83,0.07801418439716312,54.54545454545454,36.36363636363637,0,9.090909090909092,0,2.640664627272727
P2-84,0.08791208791208792,62.5,37.5,0,0,0,2.2055706875
P2-86,0.10714285714285714,50,44.44444444444444,0,5.555555555555555,0,2.57722335
P2-87,0.050955414012738856,12.5,0,56.25,31.25,0,4.47419803125
P2-88,0.05672268907563025,22.22222222222222,11.11111111111111,44.44444444444444,14.814814814814813,7.4074074074074066,4.057860477777777
P2-89,0.04891304347826087,16.666666666666664,0,55.55555555555556,27.77777777777778,0,4.286721883333334
P2-9,0.08759124087591241,50,50,0,0,0,2.3786356499999997
P2-90,0.09259259259259259,0,13.333333333333334,46.666666666666664,40,0,4.881785519999999
P2-91,0.07462686567164178,0,0,40,60,0,5.542264299999999
P2-92,0.11965811965811966,0,7.142857142857142,50,42.857142857142854,0,5.011134807142857
P2-93,0.08994708994708994,58.82352941176471,41.17647058823529,0,0,0,2.2564721470588234
P2-94,0.09722222222222222,71.42857142857143,28.57142857142857,0,0,0,2.0819528571428574
P3-1,0.06808510638297872,81.25,18.75,0,0,0,1.94597324375
P3-10,0.06887755102040816,66.66666666666666,25.925925925925924,0,3.7037037037037033,3.7037037037037033,2.481352111111111
P3-12,0.04656862745098039,78.94736842105263,21.052631578947366,0,0,0,1.9778536315789472
P3-13,0.046948356807511735,85,15,0,0,0,1.894053755
P3-14,0.07744107744107744,56.52173913043478,34.78260869565217,4.3478260869565215,4.3478260869565215,0,2.479259699999999
P3-15,0.07100591715976332,58.333333333333336,25,4.166666666666666,4.166666666666666,8.333333333333332,2.898648245833333
P3-16,0.06424581005586592,73.91304347826086,21.73913043478261,0,4.3478260869565215,0,2.202971313043478
P3-17,0.0718954248366013,68.18181818181817,13.636363636363635,4.545454545454546,4.545454545454546,9.090909090909092,2.820056690909091
P3-19,0.07142857142857142,62.5,37.5,0,0,0,2.2055706875
P3-2,0.047619047619047616,69.23076923076923,30.76923076923077,0,0,0,2.1123818615384615
P3-20,0.06077348066298342,63.63636363636363,36.36363636363637,0,0,0,2.189837509090909
P3-21,0.04365079365079365,72.72727272727273,18.181818181818183,9.090909090909092,0,0,2.1382042727272728
P3-22,0.05138339920948617,65.38461538461539,34.61538461538461,0,0,0,2.1656326192307693
P3-23,0.03977272727272727,71.42857142857143,28.57142857142857,0,0,0,2.0819528571428574
P3-24,0.051351351351351354,57.89473684210527,36.84210526315789,0,5.263157894736842,0,2.4574671789473683
P3-25,0.051075268817204304,63.1578947368421,31.57894736842105,0,5.263157894736842,0,2.3845977210526312
P3-26,0.0664451827242525,75,15,0,10,0,2.389963585
P3-27,0.046153846153846156,0,0,41.66666666666667,58.333333333333336,0,5.496297225
P3-28,0.05240174672489083,0,0,25,58.333333333333336,16.666666666666664,6.2650556250000005
P3-29,0.05652173913043478,0,0,38.46153846153847,38.46153846153847,23.076923076923077,6.012662961538462
P3-3,0.04529616724738676,53.84615384615385,30.76923076923077,0,0,15.384615384615385,3.1606317384615386
P3-30,0.0784313725490196,66.66666666666666,33.33333333333333,0,0,0,2.1478823666666664
P3-31,0.059190031152647975,63.1578947368421,36.84210526315789,0,0,0,2.1964620052631574
P3-32,0.09230769230769231,62.5,37.5,0,0,0,2.2055706875
P3-33,0.038356164383561646,35.714285714285715,7.142857142857142,28.57142857142857,21.428571428571427,7.142857142857142,3.9634996571428567
P3-34,0.04783599088838269,47.61904761904761,19.047619047619047,19.047619047619047,14.285714285714285,0,3.077788604761905
P3-36,0.0584958217270195,33.33333333333333,14.285714285714285,33.33333333333333,19.047619047619047,0,3.5624457476190474
P3-37,0.054245283018867926,43.47826086956522,21.73913043478261,13.043478260869565,17.391304347826086,4.3478260869565215,3.433151334782609
P3-38,0.04607046070460705,47.05882352941176,23.52941176470588,5.88235294117647,17.647058823529413,5.88235294117647,3.4175564882352942
P3-39,0.06390977443609022,58.82352941176471,17.647058823529413,11.76470588235294,5.88235294117647,5.88235294117647,2.8821657529411766
P3-4,0.059895833333333336,69.56521739130434,26.08695652173913,0,0,4.3478260869565215,2.3437993826086956
P3-40,0.05014749262536873,47.05882352941176,35.294117647058826,5.88235294117647,5.88235294117647,5.88235294117647,2.9970178294117646
P3-41,0.06567164179104477,59.09090909090909,40.909090909090914,0,0,0,2.252770222727273
P3-42,0.05747126436781609,66.66666666666666,26.666666666666668,6.666666666666667,0,0,2.2023193066666664
P3-44,0.05329153605015674,64.70588235294117,23.52941176470588,5.88235294117647,5.88235294117647,0,2.4333317352941175
P3-45,0.048458149779735685,50,27.27272727272727,4.545454545454546,13.636363636363635,4.545454545454546,3.1499717590909087
P3-46,0.06192660550458716,66.66666666666666,14.814814814814813,3.7037037037037033,11.11111111111111,3.7037037037037033,2.7763784555555553
P3-47,0.044,77.27272727272727,22.727272727272727,0,0,0,2.001039368181818
P3-48,0.05543237250554324,72,28.000000000000004,0,0,0,2.074041316
P3-49,0.0777479892761394,65.51724137931035,34.48275862068966,0,0,0,2.1637963862068967
P3-5,0.07547169811320754,81.25,18.75,0,0,0,1.94597324375
P3-50,0.06596306068601583,60,32,0,8,0,2.526149968
P3-51,0.09606986899563319,68.18181818181817,31.818181818181817,0,0,0,2.126904795454545
P3-52,0.071875,60.86956521739131,34.78260869565217,4.3478260869565215,0,0,2.2636467304347825
P3-53,0.03125,50,37.5,0,12.5,0,2.825457975
P3-54,0.040880503144654086,69.23076923076923,15.384615384615385,0,15.384615384615385,0,2.6623170307692305
P3-55,0.03888888888888889,64.28571428571429,21.428571428571427,0,14.285714285714285,0,2.6915012071428572
P3-56,0.07419354838709677,17.391304347826086,13.043478260869565,43.47826086956522,21.73913043478261,4.3478260869565215,4.198263313043478
P3-57,0.055299539170506916,25,12.5,45.83333333333333,16.666666666666664,0,3.6947826374999995
P3-58,0.04247104247104247,45.45454545454545,31.818181818181817,4.545454545454546,13.636363636363635,4.545454545454546,3.2129044727272724
P3-6,0.09047619047619047,84.21052631578947,15.789473684210526,0,0,0,1.9049841736842104
P3-60,0.060085836909871244,46.42857142857143,21.428571428571427,14.285714285714285,14.285714285714285,3.571428571428571,3.2492840428571426
P3-61,0.05025125628140704,50,20,10,15,5,3.267933075
P3-62,0.07076923076923076,52.17391304347826,39.130434782608695,4.3478260869565215,4.3478260869565215,0,2.5394562086956514
P3-63,0.0859375,63.63636363636363,36.36363636363637,0,0,0,2.189837509090909
P3-64,0.06097560975609756,64,36,0,0,0,2.184802892
P3-65,0.06720430107526881,60,36,0,4,0,2.383166824
P3-66,0.0658682634730539,59.09090909090909,36.36363636363637,4.545454545454546,0,0,2.2898863181818183
P3-67,0.06521739130434782,62.5,33.33333333333333,4.166666666666666,0,0,2.239593775
P3-68,0.06748466257668712,59.09090909090909,36.36363636363637,0,0,4.545454545454546,2.4995477
P3-69,0.06531531531531531,65.51724137931035,34.48275862068966,0,0,0,2.1637963862068967
P3-7,0.06,77.77777777777779,22.22222222222222,0,0,0,1.9940468444444446
P3-70,0.07289293849658314,62.5,31.25,0,6.25,0,2.42898185
P3-71,0.05089820359281437,64.70588235294117,29.411764705882355,5.88235294117647,0,0,2.223062405882353
P3-72,0.041379310344827586,77.77777777777779,22.22222222222222,0,0,0,1.9940468444444446
P3-73,0.051181102362204724,69.23076923076923,30.76923076923077,0,0,0,2.1123818615384615
P3-74,0.05387205387205387,0,0,43.75,50,6.25,5.55474625
P3-75,0.09701492537313433,7.6923076923076925,0,46.15384615384615,46.15384615384615,0,4.991070615384615
P3-76,0.06557377049180328,5,5,45,40,5,5.070405525
P3-77,0.061971830985915494,63.63636363636363,36.36363636363637,0,0,0,2.189837509090909
P3-78,0.0610079575596817,56.52173913043478,43.47826086956522,0,0,0,2.288340886956522
P3-79,0.07671957671957672,62.06896551724138,37.93103448275862,0,0,0,2.2115384448275863
P3-8,0.06402439024390244,71.42857142857143,23.809523809523807,4.761904761904762,0,0,2.1208363857142856
P3-80,0.058823529411764705,72.72727272727273,27.27272727272727,0,0,0,2.0639720818181817
P3-81,0.05958549222797927,65.21739130434783,34.78260869565217,0,0,0,2.167947869565217
P3-82,0.059447983014861996,67.85714285714286,32.142857142857146,0,0,0,2.1313999892857143
P3-9,0.07462686567164178,68,28.000000000000004,4,0,0,2.162084268
